icd_10,probs
H60.22,9.517485070651613e-05
H60.23,9.517485070651613e-05
H60.40,9.517485070651613e-05
H60.41,9.517485070651613e-05
H60.42,9.517485070651613e-05
H60.43,9.517485070651613e-05
H60.60,9.517485070651613e-05
H60.61,9.517485070651613e-05
H60.62,9.517485070651613e-05
H60.63,9.517485070651613e-05
H60.90,9.517485070651613e-05
H60.91,9.517485070651613e-05
H60.92,9.517485070651613e-05
H60.93,9.517485070651613e-05
H61.20,0.000517314050349945
H61.21,0.000517314050349945
H61.22,0.000517314050349945
H61.23,0.000517314050349945
H61.90,0.000517314050349945
H61.91,0.000517314050349945
H61.92,0.000517314050349945
H61.93,0.000517314050349945
H65.00,0.0003195141988532863
H65.01,0.0003195141988532863
H65.02,0.0003195141988532863
H65.03,0.0003195141988532863
H65.04,0.0003195141988532863
H65.05,0.0003195141988532863
H65.06,0.0003195141988532863
H65.07,0.0003195141988532863
H65.20,0.0003195141988532863
H65.21,0.0003195141988532863
H65.22,0.0003195141988532863
H65.23,0.0003195141988532863
H65.30,0.0003195141988532863
H65.31,0.0003195141988532863
H65.32,0.0003195141988532863
H65.33,0.0003195141988532863
H65.90,0.0003195141988532863
H65.91,0.0003195141988532863
H65.92,0.0003195141988532863
H65.93,0.0003195141988532863
H66.10,8.368686449599012e-05
H66.11,8.368686449599012e-05
H66.12,8.368686449599012e-05
H66.13,8.368686449599012e-05
H66.20,8.368686449599012e-05
H66.21,8.368686449599012e-05
H66.22,8.368686449599012e-05
H66.23,8.368686449599012e-05
H66.40,8.368686449599012e-05
H66.41,8.368686449599012e-05
H66.42,8.368686449599012e-05
H66.43,8.368686449599012e-05
H66.90,8.368686449599012e-05
H66.91,8.368686449599012e-05
H66.92,8.368686449599012e-05
H66.93,8.368686449599012e-05
H90.0,0.00025407384633452027
H90.11,0.00025407384633452027
H90.12,0.00025407384633452027
H90.2,0.00025407384633452027
H90.3,0.00025407384633452027
H90.41,0.00025407384633452027
H90.42,0.00025407384633452027
H90.5,0.00025407384633452027
H90.6,0.00025407384633452027
H90.71,0.00025407384633452027
H90.72,0.00025407384633452027
H90.8,0.00025407384633452027
H92.01,4.4998424591305174e-05
H92.02,4.4998424591305174e-05
H92.03,4.4998424591305174e-05
H92.09,4.4998424591305174e-05
H92.10,4.4998424591305174e-05
H92.11,4.4998424591305174e-05
H92.12,4.4998424591305174e-05
H92.13,4.4998424591305174e-05
H92.20,4.4998424591305174e-05
H92.21,4.4998424591305174e-05
H92.22,4.4998424591305174e-05
H92.23,4.4998424591305174e-05
H93.11,2.8988601519978905e-05
H93.12,2.8988601519978905e-05
H93.13,2.8988601519978905e-05
H93.19,2.8988601519978905e-05
H93.A1,2.8988601519978905e-05
H93.A2,2.8988601519978905e-05
H93.A3,2.8988601519978905e-05
H93.A9,2.8988601519978905e-05
H93.25,2.8988601519978905e-05
H93.90,2.8988601519978905e-05
H93.91,2.8988601519978905e-05
H93.92,2.8988601519978905e-05
H93.93,2.8988601519978905e-05
I10,0.0017083036875509064
I11.0,0.03904228611562153
